"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"New Mexico","4 wk ahead","percent","Bin","8.400000","8.500000",0.00247817037172556
"New Mexico","4 wk ahead","percent","Bin","8.500000","8.600000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","8.600000","8.700000",0.00129153019372953
"New Mexico","4 wk ahead","percent","Bin","8.700000","8.800000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","8.800000","8.900000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","8.900000","9",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","9","9.100000",0.00129153019372953
"New Mexico","4 wk ahead","percent","Bin","9.100000","9.200000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","9.200000","9.300000",0.00188530028279504
"New Mexico","4 wk ahead","percent","Bin","9.300000","9.400000",0.00129153019372953
"New Mexico","4 wk ahead","percent","Bin","9.400000","9.500000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","9.500000","9.600000",0.00188530028279504
"New Mexico","4 wk ahead","percent","Bin","9.600000","9.700000",0.00129153019372953
"New Mexico","4 wk ahead","percent","Bin","9.700000","9.800000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","9.800000","9.900000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","9.900000","10",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","10","10.100000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","10.100000","10.200000",0.00129153019372953
"New Mexico","4 wk ahead","percent","Bin","10.200000","10.300000",0.00129153019372953
"New Mexico","4 wk ahead","percent","Bin","10.300000","10.400000",0.00129153019372953
"New Mexico","4 wk ahead","percent","Bin","10.400000","10.500000",0.00188530028279504
"New Mexico","4 wk ahead","percent","Bin","10.500000","10.600000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","10.600000","10.700000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","10.700000","10.800000",0.00129153019372953
"New Mexico","4 wk ahead","percent","Bin","10.800000","10.900000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","10.900000","11",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","11","11.100000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","11.100000","11.200000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","11.200000","11.300000",0.00129153019372953
"New Mexico","4 wk ahead","percent","Bin","11.300000","11.400000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","11.400000","11.500000",0.00129153019372953
"New Mexico","4 wk ahead","percent","Bin","11.500000","11.600000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","11.600000","11.700000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","11.700000","11.800000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","11.800000","11.900000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","11.900000","12",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","12","12.100000",0.00129153019372953
"New Mexico","4 wk ahead","percent","Bin","12.100000","12.200000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","12.200000","12.300000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","12.300000","12.400000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","12.400000","12.500000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","12.500000","12.600000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","12.600000","12.700000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","12.700000","12.800000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","12.800000","12.900000",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","12.900000","13",0.000902584135387621
"New Mexico","4 wk ahead","percent","Bin","13","100",0.0120602018090303
"New York","Season peak week","week","Bin","40","41",0.00240562057734894
"New York","Season peak week","week","Bin","41","42",0.00240562057734894
"New York","Season peak week","week","Bin","42","43",0.00240562057734894
"New York","Season peak week","week","Bin","43","44",0.00240562057734894
"New York","Season peak week","week","Bin","44","45",0.00240562057734894
"New York","Season peak week","week","Bin","45","46",0.00240562057734894
"New York","Season peak week","week","Bin","46","47",0.00240562057734894
"New York","Season peak week","week","Bin","47","48",0.00240562057734894
"New York","Season peak week","week","Bin","48","49",0.00240562057734894
"New York","Season peak week","week","Bin","49","50",0.00240562057734894
"New York","Season peak week","week","Bin","50","51",0.00240562057734894
"New York","Season peak week","week","Bin","51","52",0.00240562057734894
"New York","Season peak week","week","Bin","52","53",0.00240562057734894
"New York","Season peak week","week","Bin","1","2",0.00240562057734894
"New York","Season peak week","week","Bin","2","3",0.00240562057734894
"New York","Season peak week","week","Bin","3","4",0.00240562057734894
"New York","Season peak week","week","Bin","4","5",0.00240562057734894
"New York","Season peak week","week","Bin","5","6",0.00240562057734894
"New York","Season peak week","week","Bin","6","7",0.00240562057734894
"New York","Season peak week","week","Bin","7","8",0.810140194433647
"New York","Season peak week","week","Bin","8","9",0.0878605210865251
"New York","Season peak week","week","Bin","9","10",0.0274817065956096
"New York","Season peak week","week","Bin","10","11",0.00475458114109947
"New York","Season peak week","week","Bin","11","12",0.00240562057734894
"New York","Season peak week","week","Bin","12","13",0.00240562057734894
"New York","Season peak week","week","Bin","13","14",0.00240562057734894
"New York","Season peak week","week","Bin","14","15",0.00240562057734894
"New York","Season peak week","week","Bin","15","16",0.00240562057734894
"New York","Season peak week","week","Bin","16","17",0.00240562057734894
"New York","Season peak week","week","Bin","17","18",0.00240562057734894
"New York","Season peak week","week","Bin","18","19",0.00240562057734894
"New York","Season peak week","week","Bin","19","20",0.00240562057734894
"New York","Season peak week","week","Bin","20","21",0.00240562057734894
"New York","Season peak percentage","percent","Bin","0","0.100000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","0.100000","0.200000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","0.200000","0.300000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","0.300000","0.400000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","0.400000","0.500000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","0.500000","0.600000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","0.600000","0.700000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","0.700000","0.800000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","0.800000","0.900000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","0.900000","1",0.00221177909980591
"New York","Season peak percentage","percent","Bin","1","1.100000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","1.100000","1.200000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","1.200000","1.300000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","1.300000","1.400000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","1.400000","1.500000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","1.500000","1.600000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","1.600000","1.700000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","1.700000","1.800000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","1.800000","1.900000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","1.900000","2",0.00221177909980591
"New York","Season peak percentage","percent","Bin","2","2.100000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","2.100000","2.200000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","2.200000","2.300000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","2.300000","2.400000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","2.400000","2.500000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","2.500000","2.600000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","2.600000","2.700000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","2.700000","2.800000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","2.800000","2.900000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","2.900000","3",0.00221177909980591
"New York","Season peak percentage","percent","Bin","3","3.100000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","3.100000","3.200000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","3.200000","3.300000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","3.300000","3.400000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","3.400000","3.500000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","3.500000","3.600000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","3.600000","3.700000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","3.700000","3.800000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","3.800000","3.900000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","3.900000","4",0.00221177909980591
"New York","Season peak percentage","percent","Bin","4","4.100000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","4.100000","4.200000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","4.200000","4.300000",0.00107456956265019
"New York","Season peak percentage","percent","Bin","4.300000","4.400000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","4.400000","4.500000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","4.500000","4.600000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","4.600000","4.700000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","4.700000","4.800000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","4.800000","4.900000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","4.900000","5",0.00221177909980591
"New York","Season peak percentage","percent","Bin","5","5.100000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","5.100000","5.200000",0.00221177909980591
"New York","Season peak percentage","percent","Bin","5.200000","5.300000",0.000929448621714412
"New York","Season peak percentage","percent","Bin","5.300000","5.400000",0.000903125632427868
"New York","Season peak percentage","percent","Bin","5.400000","5.500000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","5.500000","5.600000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","5.600000","5.700000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","5.700000","5.800000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","5.800000","5.900000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","5.900000","6",0.000891552637138077
"New York","Season peak percentage","percent","Bin","6","6.100000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","6.100000","6.200000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","6.200000","6.300000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","6.300000","6.400000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","6.400000","6.500000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","6.500000","6.600000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","6.600000","6.700000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","6.700000","6.800000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","6.800000","6.900000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","6.900000","7",0.000891552637138077
"New York","Season peak percentage","percent","Bin","7","7.100000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","7.100000","7.200000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","7.200000","7.300000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","7.300000","7.400000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","7.400000","7.500000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","7.500000","7.600000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","7.600000","7.700000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","7.700000","7.800000",0.734842700919021
"New York","Season peak percentage","percent","Bin","7.800000","7.900000",0.00983559599691243
"New York","Season peak percentage","percent","Bin","7.900000","8",0.0103935957698065
"New York","Season peak percentage","percent","Bin","8","8.100000",0.00867143647072536
"New York","Season peak percentage","percent","Bin","8.100000","8.200000",0.00698305715789574
"New York","Season peak percentage","percent","Bin","8.200000","8.300000",0.00470495808508206
"New York","Season peak percentage","percent","Bin","8.300000","8.400000",0.00298523878500782
"New York","Season peak percentage","percent","Bin","8.400000","8.500000",0.00297287879003833
"New York","Season peak percentage","percent","Bin","8.500000","8.600000",0.00522541787325493
"New York","Season peak percentage","percent","Bin","8.600000","8.700000",0.00183428925344427
"New York","Season peak percentage","percent","Bin","8.700000","8.800000",0.00408906833574919
"New York","Season peak percentage","percent","Bin","8.800000","8.900000",0.00293048880729106
"New York","Season peak percentage","percent","Bin","8.900000","9",0.00123098949898727
"New York","Season peak percentage","percent","Bin","9","9.100000",0.00123949949552371
"New York","Season peak percentage","percent","Bin","9.100000","9.200000",0.00178926927176741
"New York","Season peak percentage","percent","Bin","9.200000","9.300000",0.00348938857981885
"New York","Season peak percentage","percent","Bin","9.300000","9.400000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","9.400000","9.500000",0.00175193928696071
"New York","Season peak percentage","percent","Bin","9.500000","9.600000",0.00118845951629698
"New York","Season peak percentage","percent","Bin","9.600000","9.700000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","9.700000","9.800000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","9.800000","9.900000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","9.900000","10",0.000891552637138077
"New York","Season peak percentage","percent","Bin","10","10.100000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","10.100000","10.200000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","10.200000","10.300000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","10.300000","10.400000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","10.400000","10.500000",0.00115159953129899
"New York","Season peak percentage","percent","Bin","10.500000","10.600000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","10.600000","10.700000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","10.700000","10.800000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","10.800000","10.900000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","10.900000","11",0.00114673953327701
"New York","Season peak percentage","percent","Bin","11","11.100000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","11.100000","11.200000",0.00114673953327701
"New York","Season peak percentage","percent","Bin","11.200000","11.300000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","11.300000","11.400000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","11.400000","11.500000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","11.500000","11.600000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","11.600000","11.700000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","11.700000","11.800000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","11.800000","11.900000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","11.900000","12",0.000891552637138077
"New York","Season peak percentage","percent","Bin","12","12.100000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","12.100000","12.200000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","12.200000","12.300000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","12.300000","12.400000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","12.400000","12.500000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","12.500000","12.600000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","12.600000","12.700000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","12.700000","12.800000",0.000891552637138077
"New York","Season peak percentage","percent","Bin","12.800000","12.900000",0.00114673953327701
"New York","Season peak percentage","percent","Bin","12.900000","13",0.000891552637138077
"New York","Season peak percentage","percent","Bin","13","100",0.0253981896629368
"New York","1 wk ahead","percent","Bin","0","0.100000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","0.100000","0.200000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","0.200000","0.300000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","0.300000","0.400000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","0.400000","0.500000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","0.500000","0.600000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","0.600000","0.700000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","0.700000","0.800000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","0.800000","0.900000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","0.900000","1",0.000895461965972445
"New York","1 wk ahead","percent","Bin","1","1.100000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","1.100000","1.200000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","1.200000","1.300000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","1.300000","1.400000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","1.400000","1.500000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","1.500000","1.600000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","1.600000","1.700000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","1.700000","1.800000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","1.800000","1.900000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","1.900000","2",0.000895461965972445
"New York","1 wk ahead","percent","Bin","2","2.100000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","2.100000","2.200000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","2.200000","2.300000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","2.300000","2.400000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","2.400000","2.500000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","2.500000","2.600000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","2.600000","2.700000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","2.700000","2.800000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","2.800000","2.900000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","2.900000","3",0.000895461965972445
"New York","1 wk ahead","percent","Bin","3","3.100000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","3.100000","3.200000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","3.200000","3.300000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","3.300000","3.400000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","3.400000","3.500000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","3.500000","3.600000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","3.600000","3.700000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","3.700000","3.800000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","3.800000","3.900000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","3.900000","4",0.000895461965972445
"New York","1 wk ahead","percent","Bin","4","4.100000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","4.100000","4.200000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","4.200000","4.300000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","4.300000","4.400000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","4.400000","4.500000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","4.500000","4.600000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","4.600000","4.700000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","4.700000","4.800000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","4.800000","4.900000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","4.900000","5",0.000895461965972445
"New York","1 wk ahead","percent","Bin","5","5.100000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","5.100000","5.200000",0.018516999296354
"New York","1 wk ahead","percent","Bin","5.200000","5.300000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","5.300000","5.400000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","5.400000","5.500000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","5.500000","5.600000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","5.600000","5.700000",0.00960505963500773
"New York","1 wk ahead","percent","Bin","5.700000","5.800000",0.00960505963500773
"New York","1 wk ahead","percent","Bin","5.800000","5.900000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","5.900000","6",0.000895461965972445
"New York","1 wk ahead","percent","Bin","6","6.100000",0.00960505963500773
"New York","1 wk ahead","percent","Bin","6.100000","6.200000",0.018516999296354
"New York","1 wk ahead","percent","Bin","6.200000","6.300000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","6.300000","6.400000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","6.400000","6.500000",0.00960505963500773
"New York","1 wk ahead","percent","Bin","6.500000","6.600000",0.00960505963500773
"New York","1 wk ahead","percent","Bin","6.600000","6.700000",0.0541646979417414
"New York","1 wk ahead","percent","Bin","6.700000","6.800000",0.00960505963500773
"New York","1 wk ahead","percent","Bin","6.800000","6.900000",0.0274288989577018
"New York","1 wk ahead","percent","Bin","6.900000","7",0.0541646979417414
"New York","1 wk ahead","percent","Bin","7","7.100000",0.0274288989577018
"New York","1 wk ahead","percent","Bin","7.100000","7.200000",0.0363407986190496
"New York","1 wk ahead","percent","Bin","7.200000","7.300000",0.0274288989577018
"New York","1 wk ahead","percent","Bin","7.300000","7.400000",0.0274288989577018
"New York","1 wk ahead","percent","Bin","7.400000","7.500000",0.00960505963500773
"New York","1 wk ahead","percent","Bin","7.500000","7.600000",0.0363407986190496
"New York","1 wk ahead","percent","Bin","7.600000","7.700000",0.0452526982803974
"New York","1 wk ahead","percent","Bin","7.700000","7.800000",0.0274288989577018
"New York","1 wk ahead","percent","Bin","7.800000","7.900000",0.0363407986190496
"New York","1 wk ahead","percent","Bin","7.900000","8",0.00960505963500773
"New York","1 wk ahead","percent","Bin","8","8.100000",0.00960505963500773
"New York","1 wk ahead","percent","Bin","8.100000","8.200000",0.018516999296354
"New York","1 wk ahead","percent","Bin","8.200000","8.300000",0.0452526982803974
"New York","1 wk ahead","percent","Bin","8.300000","8.400000",0.018516999296354
"New York","1 wk ahead","percent","Bin","8.400000","8.500000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","8.500000","8.600000",0.0363407986190496
"New York","1 wk ahead","percent","Bin","8.600000","8.700000",0.00960505963500773
"New York","1 wk ahead","percent","Bin","8.700000","8.800000",0.018516999296354
"New York","1 wk ahead","percent","Bin","8.800000","8.900000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","8.900000","9",0.0274288989577018
"New York","1 wk ahead","percent","Bin","9","9.100000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","9.100000","9.200000",0.018516999296354
"New York","1 wk ahead","percent","Bin","9.200000","9.300000",0.0452526982803974
"New York","1 wk ahead","percent","Bin","9.300000","9.400000",0.00960505963500773
"New York","1 wk ahead","percent","Bin","9.400000","9.500000",0.00960505963500773
"New York","1 wk ahead","percent","Bin","9.500000","9.600000",0.00960505963500773
"New York","1 wk ahead","percent","Bin","9.600000","9.700000",0.018516999296354
"New York","1 wk ahead","percent","Bin","9.700000","9.800000",0.0363407986190496
"New York","1 wk ahead","percent","Bin","9.800000","9.900000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","9.900000","10",0.00960505963500773
"New York","1 wk ahead","percent","Bin","10","10.100000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","10.100000","10.200000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","10.200000","10.300000",0.018516999296354
"New York","1 wk ahead","percent","Bin","10.300000","10.400000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","10.400000","10.500000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","10.500000","10.600000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","10.600000","10.700000",0.00960505963500773
"New York","1 wk ahead","percent","Bin","10.700000","10.800000",0.018516999296354
"New York","1 wk ahead","percent","Bin","10.800000","10.900000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","10.900000","11",0.000895461965972445
"New York","1 wk ahead","percent","Bin","11","11.100000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","11.100000","11.200000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","11.200000","11.300000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","11.300000","11.400000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","11.400000","11.500000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","11.500000","11.600000",0.00960505963500773
"New York","1 wk ahead","percent","Bin","11.600000","11.700000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","11.700000","11.800000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","11.800000","11.900000",0.00960505963500773
"New York","1 wk ahead","percent","Bin","11.900000","12",0.000895461965972445
"New York","1 wk ahead","percent","Bin","12","12.100000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","12.100000","12.200000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","12.200000","12.300000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","12.300000","12.400000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","12.400000","12.500000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","12.500000","12.600000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","12.600000","12.700000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","12.700000","12.800000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","12.800000","12.900000",0.000895461965972445
"New York","1 wk ahead","percent","Bin","12.900000","13",0.000895461965972445
"New York","1 wk ahead","percent","Bin","13","100",0.000895461965972445
"New York","2 wk ahead","percent","Bin","0","0.100000",0.000905908802511881
"New York","2 wk ahead","percent","Bin","0.100000","0.200000",0.000905908802511881
"New York","2 wk ahead","percent","Bin","0.200000","0.300000",0.000905908802511881
"New York","2 wk ahead","percent","Bin","0.300000","0.400000",0.000905908802511881
"New York","2 wk ahead","percent","Bin","0.400000","0.500000",0.000905908802511881
"New York","2 wk ahead","percent","Bin","0.500000","0.600000",0.000905908802511881
"New York","2 wk ahead","percent","Bin","0.600000","0.700000",0.000905908802511881
"New York","2 wk ahead","percent","Bin","0.700000","0.800000",0.000905908802511881
"New York","2 wk ahead","percent","Bin","0.800000","0.900000",0.00129627971741102
"New York","2 wk ahead","percent","Bin","0.900000","1",0.000905908802511881
"New York","2 wk ahead","percent","Bin","1","1.100000",0.000905908802511881
"New York","2 wk ahead","percent","Bin","1.100000","1.200000",0.000905908802511881
"New York","2 wk ahead","percent","Bin","1.200000","1.300000",0.00189222958749395
"New York","2 wk ahead","percent","Bin","1.300000","1.400000",0.00129627971741102
"New York","2 wk ahead","percent","Bin","1.400000","1.500000",0.00129627971741102
"New York","2 wk ahead","percent","Bin","1.500000","1.600000",0.000905908802511881
"New York","2 wk ahead","percent","Bin","1.600000","1.700000",0.00129627971741102
"New York","2 wk ahead","percent","Bin","1.700000","1.800000",0.000905908802511881
"New York","2 wk ahead","percent","Bin","1.800000","1.900000",0.00191025958356341
"New York","2 wk ahead","percent","Bin","1.900000","2",0.00129627971741102
"New York","2 wk ahead","percent","Bin","2","2.100000",0.00129627971741102
"New York","2 wk ahead","percent","Bin","2.100000","2.200000",0.00129627971741102
"New York","2 wk ahead","percent","Bin","2.200000","2.300000",0.00129627971741102
"New York","2 wk ahead","percent","Bin","2.300000","2.400000",0.00189222958749395
"New York","2 wk ahead","percent","Bin","2.400000","2.500000",0.00310034932412385
"New York","2 wk ahead","percent","Bin","2.500000","2.600000",0.00248726945777526
"New York","2 wk ahead","percent","Bin","2.600000","2.700000",0.00371342919047244
"New York","2 wk ahead","percent","Bin","2.700000","2.800000",0.00250530945384254
"New York","2 wk ahead","percent","Bin","2.800000","2.900000",0.00248726945777526
"New York","2 wk ahead","percent","Bin","2.900000","3",0.00308231932805439
"New York","2 wk ahead","percent","Bin","3","3.100000",0.00371342919047244
"New York","2 wk ahead","percent","Bin","3.100000","3.200000",0.00250530945384254
"New York","2 wk ahead","percent","Bin","3.200000","3.300000",0.00248726945777526
"New York","2 wk ahead","percent","Bin","3.300000","3.400000",0.00129627971741102
"New York","2 wk ahead","percent","Bin","3.400000","3.500000",0.00189222958749395
